node_id,article_node_name,evidence_inclusion,Peer_reviewed_source,evidence_type,has_data,of_quality,evidence_type_synthetic,evidence_type_fine,evidence_type_simple,in_support,evidence_type_synthetic_simple
(Bruner 1972)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Bruner 1972),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Buden 2000)_EXCLUDE_NA_No claim_NA_NA,(Buden 2000),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Burbidge & Short 2008)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Burbidge & Short 2008),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Butler 1992)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Butler 1992),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
C. Blanvillain in litt. 2016_EXCLUDE_NA_Unpublished data or article_NA_NA,C. Blanvillain in litt. 2016,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
C. Licarião in litt. 2024_EXCLUDE_NA_Unpublished data or article_NA_NA,C. Licarião in litt. 2024,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
C. Marquez and D. Cisneros-Heredia pers. comm. 2014_EXCLUDE_NA_Personal communication_NA_NA,C. Marquez and D. Cisneros-Heredia pers. comm. 2014,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
C. Schuster pers. comm. 2022_EXCLUDE_NA_Personal communication_NA_NA,C. Schuster pers. comm. 2022,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
(Cabrera & Carreira 2009)_EXCLUDE_NA_Expert opinion_NA_NA,(Cabrera & Carreira 2009),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Camp et al. 2009)_EXCLUDE_NA_No claim_NA_NA,(Camp et al. 2009),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Carboneras et al. 2014)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Carboneras et al. 2014),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Carrión Avilés 2012)_EXCLUDE_NA_Not in English or Spanish_NA_NA,(Carrión Avilés 2012),EXCLUDE,,Inaccessible,"",no,Inaccessible,Not in English or Spanish,Excluded,Not relevant,Excluded
(Case 1982)_EXCLUDE_NA_Expert opinion_NA_NA,(Case 1982),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Ceballos & Ceballos 2014)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Ceballos & Ceballos 2014),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Ceia 2008)_EXCLUDE_NA_Not in English or Spanish_NA_NA,(Ceia 2008),EXCLUDE,,Inaccessible,"",no,Inaccessible,Not in English or Spanish,Excluded,Not relevant,Excluded
(Cepeda & Cruz 1994)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Cepeda & Cruz 1994),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
Cheke and Hume 2008_EXCLUDE_NA_Missing reference_NA_NA,Cheke and Hume 2008,EXCLUDE,,Inaccessible,"",no,Inaccessible,Missing reference,Excluded,Not relevant,Excluded
(Cheke & Hume 2008)_EXCLUDE_NA_No claim_NA_NA,(Cheke & Hume 2008),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Cheke & Hume 2008)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Cheke & Hume 2008),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
"(Chittenden 2003)_EXCLUDE_Newspaper, newsletter or magazine_Failure to access or locate online full citation_NA_NA",(Chittenden 2003),EXCLUDE,"Newspaper, newsletter or magazine",Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Christensen & Burrows 1995)_EXCLUDE_NA_No claim_NA_NA,(Christensen & Burrows 1995),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Cleere & Nurney 1998)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Cleere & Nurney 1998),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Clemann 2015)_EXCLUDE_NA_No claim_NA_NA,(Clemann 2015),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Clough 1972)_EXCLUDE_NA_No claim_NA_NA,(Clough 1972),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Clough 1976)_INCLUDE_NA_Population not in support_yes_no,(Clough 1976),INCLUDE,"",Population not in support,yes,no,Population not in support with data,Population not in support with data,Population with data,No,Population not in support with data
(Clout & Merton 1998)_INCLUDE_NA_Predation in support_no_no,(Clout & Merton 1998),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Cole 2005)_EXCLUDE_NA_No claim_NA_NA,(Cole 2005),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Cole 2011)_EXCLUDE_NA_No claim_NA_NA,(Cole 2011),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Cole et al. 2009)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Cole et al. 2009),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Collar & Stuart 1985)_EXCLUDE_NA_Missing reference_NA_NA,(Collar & Stuart 1985),EXCLUDE,,Inaccessible,"",no,Inaccessible,Missing reference,Excluded,Not relevant,Excluded
(Corry et al. 2010)_EXCLUDE_NA_Expert opinion_NA_NA,(Corry et al. 2010),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Cox 1987)_EXCLUDE_NA_Expert opinion_NA_NA,(Cox 1987),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Cruz et al. 2014)_EXCLUDE_NA_Expert opinion_NA_NA,(Cruz et al. 2014),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Currie et al. 2004)_EXCLUDE_NA_Expert opinion_NA_NA,(Currie et al. 2004),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Curry et al. 2006)_EXCLUDE_Conference proceedings_Failure to access or locate online full citation_NA_NA,(Curry et al. 2006),EXCLUDE,Conference proceedings,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Curry 1989)_INCLUDE_NA_Predation not in support_no_no,(Curry 1989),INCLUDE,"",Predation not in support,no,no,Predation not in support without data,Predation not in support without data,Predation without data,No,Predation not in support without data
(Cuthbert 2002)_EXCLUDE_NA_No claim_NA_NA,(Cuthbert 2002),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Cuthbert 1999)_EXCLUDE_Thesis_Failure to access or locate online full citation_NA_NA,(Cuthbert 1999),EXCLUDE,Thesis,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
D. Ainley in litt. 1999_EXCLUDE_NA_Unpublished data or article_NA_NA,D. Ainley in litt. 1999,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
D. F. Cisneros-Heredia in litt. 2022_EXCLUDE_NA_Unpublished data or article_NA_NA,D. F. Cisneros-Heredia in litt. 2022,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
"D. Fisher, N. Whitmore and A. Gazzard pers. comm. 2024_EXCLUDE_NA_Personal communication_NA_NA","D. Fisher, N. Whitmore and A. Gazzard pers. comm. 2024",EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
D. Maphisa in litt. 2016_EXCLUDE_NA_Unpublished data or article_NA_NA,D. Maphisa in litt. 2016,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
(Davis 1994)_EXCLUDE_NA_Expert opinion_NA_NA,(Davis 1994),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(De La Rosa & Carreras De León 2016)_EXCLUDE_NA_Missing reference_NA_NA,(De La Rosa & Carreras De León 2016),EXCLUDE,,Inaccessible,"",no,Inaccessible,Missing reference,Excluded,Not relevant,Excluded
(Dennis 2001)_EXCLUDE_NA_No claim_NA_NA,(Dennis 2001),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Threatened Species Scientific Committee 2016b)_EXCLUDE_NA_Expert opinion_NA_NA,(Threatened Species Scientific Committee 2016b),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Environment 2025)_EXCLUDE_NA_Expert opinion_NA_NA,(Environment 2025),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Department of the Environment 2007)_EXCLUDE_NA_Expert opinion_NA_NA,(Department of the Environment 2007),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Dowding 2006)_EXCLUDE_NA_No claim_NA_NA,(Dowding 2006),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Drost & Lewis 1995)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Drost & Lewis 1995),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Duncan et al. 1999)_EXCLUDE_NA_Expert opinion_NA_NA,(Duncan et al. 1999),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Dunlop 2018)_EXCLUDE_NA_Expert opinion_NA_NA,(Dunlop 2018),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Dutton 1994)_EXCLUDE_NA_No claim_NA_NA,(Dutton 1994),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Dvorak et al. 2020)_EXCLUDE_NA_No claim_NA_NA,(Dvorak et al. 2020),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
E. A. Schreiber in litt. 1999_EXCLUDE_NA_Unpublished data or article_NA_NA,E. A. Schreiber in litt. 1999,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
E. Hagen in litt. 2020_EXCLUDE_NA_Unpublished data or article_NA_NA,E. Hagen in litt. 2020,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
E. VanGelder in litt. 1999_EXCLUDE_NA_Unpublished data or article_NA_NA,E. VanGelder in litt. 1999,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
(Echternacht et al. 2011)_INCLUDE_NA_Predation in support_no_no,(Echternacht et al. 2011),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
F. Burns in litt. 2008_EXCLUDE_NA_Unpublished data or article_NA_NA,F. Burns in litt. 2008,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
F. Burns in litt. 2010_EXCLUDE_NA_Unpublished data or article_NA_NA,F. Burns in litt. 2010,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
F. Rodríguez in litt. 2016_EXCLUDE_NA_Unpublished data or article_NA_NA,F. Rodríguez in litt. 2016,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
(Famira-Parcsetich et al. 2024)_INCLUDE_NA_Predation in support_no_no,(Famira-Parcsetich et al. 2024),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Fancourt 2014)_INCLUDE_NA_Population in support_yes_no,(Fancourt 2014),INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
(Farris & Kelly 2011)_EXCLUDE_NA_No claim_NA_NA,(Farris & Kelly 2011),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Farris et al. 2015b)_EXCLUDE_NA_Unpublished data or article_NA_NA,(Farris et al. 2015b),EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
(Farris et al. 2016)_EXCLUDE_NA_Unpublished data or article_NA_NA,(Farris et al. 2016),EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
(Felix et al. 2014)_EXCLUDE_NA_Unpublished data or article_NA_NA,(Felix et al. 2014),EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
(Fisher et al. 2000)_EXCLUDE_NA_No claim_NA_NA,(Fisher et al. 2000),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Fisher et al. 2019)_EXCLUDE_NA_No claim_NA_NA,(Fisher et al. 2019),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Fitzgerald et al. 2002)_EXCLUDE_NA_Expert opinion_NA_NA,(Fitzgerald et al. 2002),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Fleming 1939)_EXCLUDE_NA_Expert opinion_NA_NA,(Fleming 1939),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Flux 2007)_INCLUDE_NA_Predation in support_no_no,(Flux 2007),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Friend 2003)_INCLUDE_NA_Predation in support_no_no,(Friend 2003),INCLUDE,"",Predation in support,no,no,Predation in support without data,Predation in support without data,Predation without data,Yes,Predation in support without data
(Friend 2008)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Friend 2008),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Fundação Príncipe 2019)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Fundação Príncipe 2019),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
G. A. Taylor in litt. 1994_EXCLUDE_NA_Unpublished data or article_NA_NA,G. A. Taylor in litt. 1994,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
G. Clemmer pers. comm. 1995_EXCLUDE_NA_Personal communication_NA_NA,G. Clemmer pers. comm. 1995,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
G. Dutson in litt. 2007_EXCLUDE_NA_Missing reference_NA_NA,G. Dutson in litt. 2007,EXCLUDE,,Inaccessible,"",no,Inaccessible,Missing reference,Excluded,Not relevant,Excluded
G. Hilton in litt. 2006_EXCLUDE_NA_Unpublished data or article_NA_NA,G. Hilton in litt. 2006,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
"G. Lobos, A. Charrier and M. Vidal pers. comm. May 2018_EXCLUDE_NA_Personal communication_NA_NA","G. Lobos, A. Charrier and M. Vidal pers. comm. May 2018",EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
G. McKinlay in litt. 2018_EXCLUDE_NA_Unpublished data or article_NA_NA,G. McKinlay in litt. 2018,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
G. Rivas pers. comm. 2018_EXCLUDE_NA_Personal communication_NA_NA,G. Rivas pers. comm. 2018,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
(Garcia et al. 2001)_EXCLUDE_NA_No claim_NA_NA,(Garcia et al. 2001),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
Gerber 2000 Unpublished report_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,Gerber 2000 Unpublished report,EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Ghestemme 2009)_EXCLUDE_NA_Not in English or Spanish_NA_NA,(Ghestemme 2009),EXCLUDE,,Inaccessible,"",no,Inaccessible,Not in English or Spanish,Excluded,Not relevant,Excluded
(Goder et al. 2015)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Goder et al. 2015),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Gouni et al. 2006)_EXCLUDE_NA_Not in English or Spanish_NA_NA,(Gouni et al. 2006),EXCLUDE,,Inaccessible,"",no,Inaccessible,Not in English or Spanish,Excluded,Not relevant,Excluded
(Groombridge et al. 2004)_EXCLUDE_NA_Expert opinion_NA_NA,(Groombridge et al. 2004),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
"(Guicking 1999)_EXCLUDE_Newspaper, newsletter or magazine_Failure to access or locate online full citation_NA_NA",(Guicking 1999),EXCLUDE,"Newspaper, newsletter or magazine",Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
H. Baker and P. Baker in litt. 1999_EXCLUDE_NA_Unpublished data or article_NA_NA,H. Baker and P. Baker in litt. 1999,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
H. C. Baker and P. E. Baker in litt. 1999_EXCLUDE_NA_Unpublished data or article_NA_NA,H. C. Baker and P. E. Baker in litt. 1999,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
H. Weimerskirch in litt. 2008_EXCLUDE_NA_Missing reference_NA_NA,H. Weimerskirch in litt. 2008,EXCLUDE,,Inaccessible,"",no,Inaccessible,Missing reference,Excluded,Not relevant,Excluded
(Ha et al. 2010)_EXCLUDE_NA_Expert opinion_NA_NA,(Ha et al. 2010),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Hammond et al. 2016)_EXCLUDE_NA_Expert opinion_NA_NA,(Hammond et al. 2016),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Harrington et al. 2017)_EXCLUDE_NA_No claim_NA_NA,(Harrington et al. 2017),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Harris 1973)_EXCLUDE_NA_Expert opinion_NA_NA,(Harris 1973),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Hawlitschek et al. 2011)_EXCLUDE_NA_No claim_NA_NA,(Hawlitschek et al. 2011),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
"(Hayes 2006)_EXCLUDE_Newspaper, newsletter or magazine_Failure to access or locate online full citation_NA_NA",(Hayes 2006),EXCLUDE,"Newspaper, newsletter or magazine",Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Heather & Robertson 1997)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Heather & Robertson 1997),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Hedges & Conn 2012)_EXCLUDE_NA_No claim_NA_NA,(Hedges & Conn 2012),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Hernández et al. 1999)_EXCLUDE_NA_No claim_NA_NA,(Hernández et al. 1999),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
(Hernández 2005)_EXCLUDE_NA_Expert opinion_NA_NA,(Hernández 2005),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Higgins 1999)_EXCLUDE_Book or chapter_Failure to access or locate online full citation_NA_NA,(Higgins 1999),EXCLUDE,Book or chapter,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
Hines pers. comm. 2017_EXCLUDE_NA_Personal communication_NA_NA,Hines pers. comm. 2017,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
Hodum in litt. 2007_EXCLUDE_NA_Unpublished data or article_NA_NA,Hodum in litt. 2007,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
Hodum in litt. 2008_EXCLUDE_NA_Unpublished data or article_NA_NA,Hodum in litt. 2008,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
(Hodum 2009)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Hodum 2009),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Hodum & Wainstein 2004)_EXCLUDE_Report_Failure to access or locate online full citation_NA_NA,(Hodum & Wainstein 2004),EXCLUDE,Report,Inaccessible,"",no,Inaccessible,Failure to access or locate online full citation,Excluded,Not relevant,Excluded
(Honsterette & Probst 1999)_EXCLUDE_NA_Not in English or Spanish_NA_NA,(Honsterette & Probst 1999),EXCLUDE,,Inaccessible,"",no,Inaccessible,Not in English or Spanish,Excluded,Not relevant,Excluded
Hume 2017_EXCLUDE_NA_Missing reference_NA_NA,Hume 2017,EXCLUDE,,Inaccessible,"",no,Inaccessible,Missing reference,Excluded,Not relevant,Excluded
(Hume 2017) core source_INCLUDE_NA_Population in support_yes_no,(Hume 2017) core source,INCLUDE,"",Population in support,yes,no,Population in support with data,Population in support with data,Population with data,Yes,Population in support with data
(Hunter et al. 2018)_EXCLUDE_NA_Expert opinion_NA_NA,(Hunter et al. 2018),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
I. Debski in litt. 2018_EXCLUDE_NA_Missing reference_NA_NA,I. Debski in litt. 2018,EXCLUDE,,Inaccessible,"",no,Inaccessible,Missing reference,Excluded,Not relevant,Excluded
(Illera & Díaz 2006)_EXCLUDE_NA_Expert opinion_NA_NA,(Illera & Díaz 2006),EXCLUDE,"",Does not test claim,"",no,Does not test claim,Expert opinion,Excluded,Not relevant,Excluded
(Iverson 1978)_EXCLUDE_NA_No claim_NA_NA,(Iverson 1978),EXCLUDE,"",No claim,"",no,No claim,No claim,Excluded,Not relevant,Excluded
J. Burgett in litt. 2007_EXCLUDE_NA_Unpublished data or article_NA_NA,J. Burgett in litt. 2007,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
J. C. Simon in litt. 1999_EXCLUDE_NA_Unpublished data or article_NA_NA,J. C. Simon in litt. 1999,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
J. C. Torres-Mura in litt.1999_EXCLUDE_NA_Unpublished data or article_NA_NA,J. C. Torres-Mura in litt.1999,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
J. E. Martínez-Gómez in litt. 1999_EXCLUDE_NA_Unpublished data or article_NA_NA,J. E. Martínez-Gómez in litt. 1999,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
J. E. Martínez-Gómez in litt. 2000_EXCLUDE_NA_Unpublished data or article_NA_NA,J. E. Martínez-Gómez in litt. 2000,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
J. E. Martínez-Gómez in litt. 2007_EXCLUDE_NA_Unpublished data or article_NA_NA,J. E. Martínez-Gómez in litt. 2007,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
J. E. Martínez-Gómez in litt. 2016_EXCLUDE_NA_Unpublished data or article_NA_NA,J. E. Martínez-Gómez in litt. 2016,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
J. Freile in litt. 2018_EXCLUDE_NA_Unpublished data or article_NA_NA,J. Freile in litt. 2018,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
J. Friend pers. comm._EXCLUDE_NA_Personal communication_NA_NA,J. Friend pers. comm.,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
J. M. Scott in litt. 1999_EXCLUDE_NA_Unpublished data or article_NA_NA,J. M. Scott in litt. 1999,EXCLUDE,,Inaccessible,"",no,Inaccessible,Unpublished data or article,Excluded,Not relevant,Excluded
J. Martínez Gómez in litt. 1998_EXCLUDE_NA_Missing reference_NA_NA,J. Martínez Gómez in litt. 1998,EXCLUDE,,Inaccessible,"",no,Inaccessible,Missing reference,Excluded,Not relevant,Excluded
J. Martínez Gómez in litt. 1999_EXCLUDE_NA_Missing reference_NA_NA,J. Martínez Gómez in litt. 1999,EXCLUDE,,Inaccessible,"",no,Inaccessible,Missing reference,Excluded,Not relevant,Excluded
J. Martínez Gómez in litt. 2000_EXCLUDE_NA_Missing reference_NA_NA,J. Martínez Gómez in litt. 2000,EXCLUDE,,Inaccessible,"",no,Inaccessible,Missing reference,Excluded,Not relevant,Excluded
J. Pérez pers. comm. 2016_EXCLUDE_NA_Personal communication_NA_NA,J. Pérez pers. comm. 2016,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
J. Townsend pers. comm. 2020_EXCLUDE_NA_Personal communication_NA_NA,J. Townsend pers. comm. 2020,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
"J. Valiulis, pers. comm. 2015_EXCLUDE_NA_Personal communication_NA_NA","J. Valiulis, pers. comm. 2015",EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
J. Woinarski pers. comm. 2017_EXCLUDE_NA_Personal communication_NA_NA,J. Woinarski pers. comm. 2017,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
J.C. Ortiz pers. comm. July 2015_EXCLUDE_NA_Personal communication_NA_NA,J.C. Ortiz pers. comm. July 2015,EXCLUDE,,Inaccessible,"",no,Inaccessible,Personal communication,Excluded,Not relevant,Excluded
