original,Endnote_intext_citation
"Green, K. (2002). Selective predation on the broad-toothed rat, Mastacomys fuscus (Rodentia: Muridae), by the introduced red fox, Vulpes vulpes (Carnivora: Canidae), in the Snowy Mountains, Australia. Austral Ecology 27, 353-359.",(Green 2002)
"Hohnen, R., Tuft, K., McGregor, H., S, L., Radford, I., and Johnson, C. N. (2016). Occupancy of the invasive feral cat varies with habitat complexity. PLoS ONE 11, (9): e0152520. doi:0152510.0151371/journal.pone.0152520.",(Hohnen et al. 2016b)
"Burbidge, A. A. (1971). The fauna and flora of the Monte Bello Islands. (Department of Fisheries and Fauna: Perth.)",(Burbidge 1971)
"Serena, M., Soderquist, T.R. & Morris, K. ( 1991). The chuditch (Dasyurus geoffroii). Western Australian Wildlife Management Program No. 7, Department of Conservation and Land Management, Perth.",(Serena et al. 1991)
"Burbidge, A. A. & Johnson, P. M. (1983). Spectacled harewallaby Lagorchestes conspicillatus. In Complete book of Australian mammals, ed. R. Strahan. Angus & Robertson, Sydney, pp. 197 8.",(Burbidge & Johnson 1983)
A. Buckner pers. comm. 2015,A. Buckner pers. comm. 2015
A. Burbidge pers. comm.,A. Burbidge pers. comm.
"A. Castellanos, R. Rodriguez-Estrella, Current status of the Socorro mockingbird. Wilson Bulletin. 105, 167–171 (1993).",(Castellanos & Rodriguez-Estrella 1993)
"A. Engilis Jr, T. K. Pratt, Status and population trends of Hawaii's native waterbirds, 1977-1987. Wilson Bulletin. 105, 143–158 (1993).",(Engilis Jr & Pratt 1993)
A. Gouni in litt. 2012, A. Gouni in litt. 2012
"A. H. Whitaker, R. A. Sadlier, A. M. Bauer, V. A. Whitaker, “Biodiversity and conservation status of lizards in dry forest remnants in Province Sud, New Caledonia. Unpublished report by Whitaker Consultants Limited to Direction des Ressources Naturelles, Province Sud, Nouméa” (Whitaker Consultants Limited, Orinoco, 2005).",(Whitaker et al. 2005)
A. Kroner in litt. 2019,A. Kroner in litt. 2019
A. Llerena pers. comm. 2018,A. Llerena pers. comm. 2018
"A. M. Bauer, T. Jackman, R. A. Sadlier, A. H. A. H. Whitaker, A new genus and species of diplodactylid gecko (Reptilia: Squamata: Diplodactylidae) from northwestern New Caledonia. Pacific Science. 60, 125–136 (2006).",(Bauer et al. 2006a)
"A. M. Bauer, T. Jackman, R. A. Sadlier, A. H. Whitaker, A revision of the Bavayia validiclavis group (Squamata: Gekkota: Diplodactylidae), a clade of New Caledonian geckos exhibiting microendemism. PROCEEDINGS-CALIFORNIA ACADEMY OF SCIENCES. 57, 503 (2006).",(Bauer et al. 2006b)
"A. M. MECKSTROTH, A. K. Miles, S. CHANDRA, Diets of introduced predators using stable isotopes and stomach contents. Journal of Wildlife Management. 71, 2387–2392 (2007).",(Meckstroth et al. 2007)
"A. Rodríguez-Ferraro, V. Sanz, Natural history and population status of the yellow-shouldered parrot on La Blanquilla Island, Venezuela. The Wilson Journal of Ornithology. 119, 602–609 (2007).",(Rodríguez-Ferraro & Sanz 2007)
"A. S. Cheke, in Studies of Mascarene Island birds, A. W. Diamond, Ed. (Cambridge, 1987), pp. 5–89.",(Cheke 1987)
"A. Schwartz, pers. Comm","A. Schwartz, pers. Comm"
A. Skerrett in litt. 1999,A. Skerrett in litt. 1999
"A. Valido, J. C. Rando, M. Nogales, A. Martin, “Fossil” lizard found alive in the Canary Islands. Oryx. 34, 75–76 (2000).",(Valido et al. 2000)
"A. Withers, T. Ghestemme, T. Autai, “Meet the last population of Marquesan kingfisher in French Polynesia. Unpublished report.” (Conservation Leadership Program, SOP, Waikato University, Hamilton, 2012).",(Autai et al. 2012)
A.A.T. Amarasinghe pers. comm. 2019,A.A.T. Amarasinghe pers. comm. 2019
"ACAP, “ACAP species assessment: Antipodean albatross Diomedea antipodensis.” (Agreement on the Conservation of Albatrosses and Petrels, 2009).",(ACAP 2009a)
"ACAP, “ACAP species assessments: Amsterdam albatross Diomedea amsterdamensis” (Agreement on the Conservation of Albatrosses and Petrels, 2010), (available at http://www.acap.aq).",(ACAP 2010a)
"ACAP, “ACAP species assessments: sooty albatross Phoebetria fusca” (Agreement on the Conservation of Albatrosses and Petrels, 2010), (available at http://www.acap.aq).",(ACAP 2010c)
ACAP. 2009. ACAP Species Assessment: Light-mantled Albatross Phoebetria palpebrata. Available at: #http://www.acap.aq/acap-species/download-document/1185-light-mantled-albatross#.,(ACAP 2010b)
ACAP. 2009. ACAP Species Assessment: Southern Royal Albatross Diomedea epomophora. Available at: #http://www.acap.aq/acap-species/download-document/1204-southern-royal-albatross#.,(ACAP 2009b)
"Abbott, I. 2008. The spread of the cat, Felis catus, in Australia: re-examination of the current conceptual model with additional information. Conservation Science Western Australia 7: 1-17.",(Abbott 2008)
"Abbott, I., 2002. Origin and spread of the cat, Felis catus, on mainland Australia, with a discussion of the magnitude of its early impact on native fauna. Wildlife Research, 29(1), pp.51-74.",(Abbott 2002)
"Abe, H., Ishii, N., Ito, T., Kaneko, Y., Maeda, K., Miura, S. and Yoneda, M. 2005. A Guide to the Mammals of Japan. Tokai University Press, Kanagawa, Japan.",(Abe et al. 2005)
"Adams, J., Felis, J.J., Czapanskiy, M.A.X., Carle, R.D. and Hodum, P.J., 2019. Diving behavior of Pink-footed Shearwaters Ardenna creatopus rearing chicks on Isla Mocha, Chile. Marine Ornithology, 47, pp.17-24.",(Adams et al. 2019)
"Adams, S.B., Wheeler, J.F.G. and Edgeworth, F.H., 1929. On the innervation of the platysma and the mandibulo-auricularis. Journal of Anatomy, 63(Pt 2), p.242.",(Adams et al. 1929)
Aguilar JS (1999) Species Action Plan For the Balearic Shearwater Puffinus mauretanicus in Europe. Prepared by BirdLife International on behalf of the European Commission,(Aguilar 1999)
"Aguilar JS (2000) La población de Pardela Balear (Puffinus mauretanicus) en el Parque Nacional del archipiélago de Cabrera. In: Pons GX (Ed) Las aves del Parque Nacional marítimo-terrestre del archipiélago de Cabrera (Islas Baleares, España). GOB-Ministerio de Medio Ambiente, Madrid, pp. 33-44",(Aguilar 2000)
"Aguirre-Muñoz, A. Bedolla-Guzmán, Y. Hernández-Montoya, J. Latofski-Robles, M. Luna-Mendoza, L. Méndez-Sánchez, F. Ortiz-Alcaraz, A. Rojas-Mayoral, E. Samaniego-Herrera, A. 2018. The conservation and restoration of the mexican islands, a successful comprehensive and collaborative approach relevant for global biodiversity. . In: Ortega-Rubio, A. (ed.), Mexican Natural Resources Management and Biodiversity Conservation, pp. 177-192. Springer.",(Aguirre-Muñoz et al. 2018)
"Ainley DG, Podolsky R, Deforest L, Spencer F, Nur N (2001) The status and population trends of the Newell’s shearwater on Kaua´i: insights from modelling. Studies in Avian Biology, 22,108-123.",(Ainley et al. 2001)
"Ainley DG, Podolsky R, de Forest L, Spencer G, Nur N. 1995. Kauai Endangered Seabird Study Volume 2. The ecology of Dark‐rumped Petrels and Newell’s Shearwater on the island of Kauai, Hawaii. Final Report prepared for Electric Power Reserach Institute, Palo Alto, California. Stinson Beach, California: Prepared by Point Reyes Bird Observatory. 74 p.",(Ainley et al. 1995)
"Al-Saghier, O.; Alsuhaibany, A.; Symens, P. 2000. The status of breeding seabirds. Conservation and sustainable use of biodiversity of Socotra Archipelago: Marine habitat, biodiversity and fisheries surveys and management; report of Phase II, pp. 97-104. Semnkerbergy Research Institute, Frankfurt.",(Al-Saghier et al. 2000)
Alberts,Alberts
"Alho, M., Granadeiro, J.P., Rando, J.C., Geraldes, P. and Catry, P., 2022. Characterization of an extinct seabird colony on the island of Santa Luzia (Cabo Verde) and its potential for future recolonizations. Journal of Ornithology, 163(1), pp.301-313.",(Alho et al. 2022)
"Alterio, N. and Moller, H., 1997. Diet of feral house cats Felis catus, ferrets Mustela furo and stoats M. erminea in grassland surrounding yellow‐eyed penguin Megadyptes antipodes breeding areas, South Island, New Zealand. Journal of Zoology, 243(4), pp.869-877.",(Alterio & Moller 1997)
"Alterio, N., Moller, H. and Ratz, H., 1998. Movements and habitat use of feral house cats Felis catus, stoats Mustela erminea and ferrets Mustela furo, in grassland surrounding yellow-eyed penguin Megadyptes antipodes breeding areas in spring. Biological Conservation, 83(2), pp.187-194.",(Alterio et al. 1998)
"Alves, R.J.V.; da Silva, N.G.; Aguirre-Muñoz, A.; Veitch, C.; Clout, M.; Towns, D. 2011. Return of endemic plant populations on Trindade Island, Brazil, with comments on the Fauna. International Conference on Island Invasives. Auckland.",(Alves et al. 2011)
"Amarasekare, P., 1993. Potential impact of mammalian nest predators on endemic forest birds of western Mauna Kea, Hawaii. Conservation Biology, 7(2), pp.316-324.",(Amarasekare 1993)
"Amarasekare, P., 1994. Ecology of introduced small mammals on western Mauna Kea, Hawaii. Journal of Mammalogy, 75(1), pp.24-38.",(Amarasekare 1994)
"Andersen, G.E., Johnson, C.N. and Jones, M.E., 2016. Sympatric predator odour reveals a competitive relationship in size-structured mammalian carnivores. Behavioral Ecology and Sociobiology, 70, pp.1831-1841.",(Andersen et al. 2016)
"Andreone, F. and Guarino, F.M. 2003. Giant or long-lived? Age structure in Macroscincus coctei, an extinct skink from Cape Verde. Amphibia-Reptilia 24: 459-470.",(Andreone & Guarino 2003)
"Andrew, P., Cogger, H., Driscoll, D., Flakus, S., Harlow, P., Maple, D., Misso, M., Pink, C., Retallick, K., Rose, K., Tiernan, B., West, J. and Woinarski, J.C.Z. 2016. Somewhat saved: a captive breeding programme for two endemic Christmas Island lizard species, now extinct in the wild. Oryx: 1-4. doi:10.1017/S0030605316001071.",(Andrew et al. 2018)
"Anon. (2005). Recovery Plan for the Mountain Pygmy-possum Burramys parvus on Mt Buller, Victoria. Mt. Buller to Mt Stirling Alpine Resorts Management Board, Mt Buller.",(Mount Buller and Mount Stirling Alpine Resort Management Board 2005)
"Anon. 2001. Penguin losses blamed on cats. Otago Daily Times, December 28.",(ODT 2001)
"Anthony, A. W. 1925. Expedition to Guadalupe Island, Mexico, in 1922: Birds and mammals. Proceedings of the California Academy of Sciences (Fourth Series) 14: 277-320. https://ia601309.us.archive.org/34/items/biostor-78015/biostor-78015.pdf",(Anthony 1925)
"Apaza, M., Valqui, J. and Castañeda, C. 2003. Estado de Conservación de las Poblaciones de Spheniscus humboldti y Lontra felina en la Costa Norte del Perú. Instituto Nacional de Recursos Naturales (INRENA), Lima.",(Apaza et al. 2003)
"Apps, P.J. 1983. Aspects of the ecology of feral cats on Dassen Island, South Africa. South African Journal of Zoology, 18, 393-399.",(Apps 1983)
"Arcos, J.M. & Oro, D. 2004. Pardela balear, Puffinus mauretanicus. In: Madroño, A., González, C. & Atienza, J.C (ed.), Libro Rojo de las Aves de España, pp. 46-50. Dirección General para la Biodiversidad - SEO/BirdLife, Madrid.",(Arcos & Oro 2004)
"Arcos, J.M., 2011. International species action plan for the Balearic shearwater, Puffinus mauretanicus. SEO/BirdLife and BirdLife International, pp.1-51.",(Arcos 2011)
"Arcos, J.M., Bécares, J., Cama, A. & Rodríguez, B. 2012c. 2012c. Estrategias marinas, grupo aves: evaluación inicial y buen estado ambiental. IEO & SEO/BirdLife. Ministerio de Agricultura, Alimentación y Merdio Ambiente http://www.magrama.gob.es/es/costas/temas/estrategias-marinas/0_Documento_grupo_aves_tcm7-223807.pdf.",(Arcos et al. 2012)
"Ardura E, Calabuig P (1993) Depredacio´n de pequen˜os procelariformes y control de gatos asilvestrados en el islote de Lobos. Unpublished report to the Unidad de Fauna, Viceconsejerı´a de Medio Ambiente, Consejerı´a de Polı´tica Territorial, Gobierno de Canarias, Las Palmas de Gran Canaria",(Ardura & Calabuig 1993)
"Arnaud G, Rodríguez A, Álvarez-Cárdenas S (1994) El gato doméstico (Felis catus), implicaciones de su presencia y alternativas para su erradicación. In: La isla Socorro, Reserva de la Biosfera Archipiélago de Revillagigedo, Mexico (eds Ortega-Rubio A, Castellanos-Vera A) pp. 319-327. Centro de Investigaciones Biológicas del Noroeste S.C. Publicación No. 8.",(Arnaud et al. 1994)
"Arnaud, G., Rodríguez, A., Ortega-Rubio, A. and Álvarez-Cárdenas, S., 1993. Predation by cats on the unique endemic lizard of Socorro Island (Urosaurus auriculatus), Revillagigedo, Mexico.",(Arnaud et al. 1993)
Arnold 2000,Arnold 2000
"Arnold, E.N. 1980. Recently extinct reptile populations from Mauritius and Réunion, Indian Ocean. Journal of Zoology 191: 33-47.",(Arnold 1980)
"Arnold, E.N. 2000. Using fossils and phylogenies to understand evolution of reptile communities on islands. In: G. Rheinwold (ed.), Isolated Vertebrate Communities in the Tropics, Vol. 46, pp. 309-323. Bonner Zoologische Monographien.",(Arnold 2000)
"Arnold, E.N. and Jones, C.G. 1994. The night geckos of the genus Nactus in the Mascarene islands with a description of the distinctive population on Round Island. Dodo, Journal of the Jersey Wildlife Preservation Trusts 30: 119-131.",(Arnold & Jones 1994)
"Arthur, A.D., Catling, P.C. and Reid, A., 2012. Relative influence of habitat structure, species interactions and rainfall on the post‐fire population dynamics of ground‐dwelling vertebrates. Austral Ecology, 37(8), pp.958-970.",(Arthur et al. 2012)
"Ashby E (1924) Notes on extinct or rare Australian birds, with suggestions as to some of the causes of their disappearance. Emu 23, 294–298.",(Ashby 1924)
"Atkinson IAE, Atkinson TJ (2000) Land vertebrates as invasive species on islands served by the South Pacific Regional Environment Programme. In: Invasive species in the Pacific: a technical review and draft regional strategy (ed Sherley G) pp. 19-84. South Pacific Regional Environment Programme, Apia, Samoa.",(Atkinson & Atkinson 2000)
"Augros, S. and Hawlitschek, O. 2019. Monographies. In: Augros, S. (ed.), Atlas des reptiles et amphibiens terrestres de l'archipel des Comores, pp. 81-213. Biotope éditions, Mèze, Muséum national d'Histoire naturelle, Paris (Collection Inventaires & biodiversité).",(Augros & Hawlitschek 2019)
"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",(Augusteyn et al. 2022)
"Augusteyn, J., Rich, M., Story, G. and Nolan, B., 2020. Canids potentially threaten bilbies at Astrebla downs National Park. Australian Mammalogy, 43(3), pp.300-310.",(Augusteyn et al. 2021)
"Axel, A.C., Whetzel, M., Harshbarger, B.M. and Randria, E., 2024. Preliminary Survey of Native and Invasive Carnivores in a Community Forest in Southwestern Madagascar. African Journal of Ecology, 62(4), p.e70001.",(Axel et al. 2024)
"Azumi, S., Watari, Y., Oka, N. and Miyashita, T., 2021. Seasonal and spatial shifts in feral cat predation on native seabirds vs. non-native rats on Mikura Island, Japan. Mammal Research, 66(1), pp.75-82.",(Azumi et al. 2021)
"B. A. Modinger et al., “Population and habitat viability assessment for the Humboldt penguin (Spheniscus humboldti). Final report” (ICUN/SSC Conservation Breeding Specialist Group, Apple Valley, 2000).",(Araya et al. 2000)
"B. D. Lloyd, Advances in New Zealand mammalogy 1990–2000: Short-tailed bats. Journal of the Royal Society of New Zealand. 31, 59–81 (2001).",(Lloyd 2001)
"B. Gangloff, P. Raust, J.-C. Thibault, V. Bretagnolle, Notes on the Phoenix Petrel (Pterodroma alba) from Hatuta'a Island, Marquesas. Waterbirds. 32, 453–458 (2009).",(Gangloff et al. 2009)
"B. Hardman, ""Reintroduction ecology of mala (Lagorchestes hirsutus) and merrnine (Lagostrophus fasciatus) at Shark Bay, Western Australia"", thesis, Edith Cowan University, Joondalup (2010).",(Hardman 2006)
"B. Miller, K. J. Mullette, Rehabilitation of an endangered Australian bird: The Lord Howe Island woodhen Tricholimnas sylvestris (Sclater). Biological Conservation. 34, 55–95 (1985).",(Miller & Mullette 1985)
"B. S. Keitt et al., “El impacto de los gatos introducidos (Felis catus) en el ecosistema de Isla Guadalupe” (2006), (available at http://www2.inecc.gob.mx/publicaciones/libros/477/cap14.html).",(Keitt et al. 2005)
B. Tershy in litt. 2007,B. Tershy in litt. 2007
B. Wilson pers. comm. 2015,B. Wilson pers. comm. 2015
"B. Wilson, R. van Ween, Jamaican Iguana Recovery Project, 2005 update. Iguana Specialist Group Newsletter. 8, 4–6 (2005).",(Wilson & van Veen 2005)
BEST Initiative. 2016. Conservation of the Critically Endangered Niau Kingfisher by the Local Community. Available at: http://www.best2portal.org/sites/best/files/factsheets/939-iucn/1653-best2-0projectfactsheeten.pdf. (Accessed: 31st May 2018).,(BEST 2016)
"BRETAGNOLLE, V., DAVID, Y., GHESTEMME, T., BUTAUD, J.F., WITHERS, T., SHIRIHAI, H. and THIBAULT, J.C., 2025. A petrel breeding diversity hotspot: Raivavae Island (Austral Islands, French Polynesia), with a need for conservation action. Marine Ornithology, 53(1), pp.163-171.",(Bretagnolle et al. 2025)
"Bain, K., Halley, M. and Wayne, A. 2023. Severe, large-scale bushfire threatens metapopulation function of quokka (Setonix brachyurus) in south-western Australia. International Journal of Wildland Fire 32: 1175-1186.",(Bain et al. 2023)
"Bain, K., Wayne, A. and Bencini, R. 2019. Spatial ecology of the quokka (Setonix brachyurus) in the southern forests of Western Australia: implications for the maintenance, or restoration, of functional metapopulations. Australian Mammalogy 42: 38-47.",(Bain et al. 2020)
"Bain, K., Wayne, A. and Bencini, R., 2015. Risks in extrapolating habitat preferences over the geographical range of threatened taxa: a case study of the quokka (Setonix brachyurus) in the southern forests of Western Australia. Wildlife Research, 42(4), pp.334-342.",(Bain et al. 2015)
"Bain, K.T., 2015. The ecology of the quokka (Setonix brachyurus) in the southern forests of Western Australia. Doctoral Thesis, The University of Western Australia.",(Bain 2015)
"Baird, B. and Dann, P. 2003. The breeding biology of hooded plovers, Thinornis rubricollis, on Phillip Island, Victoria. Emu 103(4): 323-328.",(Baird & Dann 2003)
"Baker, R.T. and Beveridge, I., 2001. Imidacloprid treatment of marsupials for fleas (Pygiopsylla hoplia). Journal of Zoo and Wildlife Medicine, 32(3), pp.391-392.",(Baker & Beveridge 2001)
"Balasubramanian, S., Curtis-Robles, R., Chirra, B., Auckland, L.D., Mai, A., Bocanegra-Garcia, V., Clark, P., Clark, W., Cottingham, M., Fleurie, G. and Johnson, C.D., 2022. Characterization of triatomine bloodmeal sources using direct Sanger sequencing and amplicon deep sequencing methods. Scientific Reports, 12(1), p.10234.",(Balasubramanian et al. 2022)
Banko 2009,Banko 2009
"Banko PC, David RE, Jacobi JD, Banko WE (2001) Conservation status and recovery strategies for endemic Hawaiian birds. Studies in Avian Biology, 22, 359-376.",(Banko et al. 2001)
"Banko, P. C. 1992. Constraints on productivity of wild Nene or Hawaiian Geese Branta sandvicensis. Wildfowl 43: 99-106.",(Banko 1992)
"Banko, P. C. and Farmer, C. 2014. Palila restoration research, 1996-2012. Hawai‘i Cooperative Studies Unit Technical Report HCSU-046. University of Hawai‘i at Hilo. Available at: http://www.uhh.hawaii.edu/hcsu/publications.php].",(Banko et al. 2014a)
"Banko, P. C., Ball, D. L., Banko, W. E. 2002. Hawaiian crow (Corvus hawaiiensis). In: A. Poole and F. Gill (eds), The Birds of North America, No. 648, The Birds of North America, Inc, Philadelphia, PA.",(Banko et al. 2002a)
"Banko, P. C., Camp, R. J., Farmer, C., Brinck, K. W., Leonard, D. L., Stephens, R. M. 2013. Response of palila and other subalpine Hawaiian forest bird species to prolonged drought and habitat degradation by feral ungulate. Biol. Conserv. 157: 70-77.",(Banko et al. 2013)
"Banko, P. C., Jaenecke, K. A., Peck, R. W., Brinck, K. W. 2019. Increased nesting success of Hawaii Elepaio in response to the removal of invasive black rats. The Condor 121(2): duz003.",(Banko et al. 2019)
"Banko, P. C., K. W. Brinck, C. Farmer, and S. C. Hess. 2009. Palila. Pp. 513−529 in T. K. Pratt, C. T. Atkinson, P. C. Banko, J. D. Jacobi, and B. L. Woodworth (editors). Conservation biology of Hawaiian forest birds: implications for island avifauna. Yale University Press, New Haven, CT.",(Banko et al. 2009)
"Banko, P., C. Farmer, S. Hess, K. Brinck, G. Beauprez, J. Castner, J. Crummer, R. Danner, B. Hsu, K. Kozar, J. Leialoha, A. Lindo. B. Muffler, C. Murray, D. Nelson, D. Pollock, M. Schwarzfeld, K. Rapozo, and E. Severson. 2004. Palila Restoration Project, 2004. Summary of Results, 1996-2004 (pages 19.2-19.6)",(Banko et al. 2004)
"Banko, P.C., Hess, S.C., Scowcroft, P.G., Farmer, C., Jacobi, J.D., Stephens, R.M., Camp, R. J., Leonard, D. L., Brinck, K. W., Juvik, J. O., Juvik, S. P. 2014. Evaluating the long-term management of introduced ungulates to protect the palila, an endangered bird, and its critical habitat in subalpine forest of Mauna Kea. Arct. Antarct. Alp. Res. 46: 871-889.",(Banko et al. 2014b)
"Banko, P.C., Johnson, L., Lindsey, G.D., Fancy, S.G., Pratt, T.K., Jacobi, J.D. & Banko, W.E. (in press) Palila (Loxioides Bailleui). The Birds of North America (eds A. Poole and F. Gill). The Birds of North America, Inc., Philadelphia, PA, USA.",(Banko et al. 2020)
"Banko, W. E., & Elder, W. H. 1990. History of endemic Hawaiian birds: population histories, species accounts: scrub-grassland birds: Nene-Hawaiian Goose. Hawaii Field Research Center, Hawaii Volcanoes National Park.",(Banko & Elder 1990)
"Bannister, H.L., Letnic, M., Blumstein, D.T. and Moseby, K.E., 2021. Individual traits influence survival of a reintroduced marsupial only at low predator densities. Animal Conservation, 24(5), pp.904-913.",(Bannister et al. 2021)
"Barbraud, C., Des Monstiers, B., Chaigne, A., Marteau, C., Weimerskirch, H. and Delord, K., 2021. Predation by feral cats threatens great albatrosses. Biological Invasions, 23, pp.2389-2405.",(Barbraud et al. 2021)
"Barbraud, C.; Delord, K.; Marteau, C.; Weimerskirch, H. 2009. Estimates of population size of White-chinned Petrels and Grey Petrels at Kerguelen Islands and sensitivity to fisheries. Animal Conservation 12(3): 258-265.",(Barbraud et al. 2009)
"Barker D, Williams M 2002. Breeding of brown teal (Anas chlorotis) at Okiwi, Great Barrier Island. Notornis 49: 199–208.",(Barker & Williams 2002)
"Barker, D. 1998. Brown teal on Okiwi Station, Pt 1: July 1997-June 1998. Internal report, Department of Conservation, Great Barrier Island.",(Barker 1998)
"Barker, D. 1999. Brown teal on Okiwi Station, Pt 2: July 1998-June 1999. Internal report, Department of Conservation, Great Barrier Island.",(Barker 1999)
"Barnett BD 1986 Eradication and control of feral cats and free-ranging dogs in the Galapagos Islands. Proceedings of the Twelfth Vertebrate Pest Conference, Nebraska, 358-68.",(Barnett 1986)
"Barrio, I.C., Bueno, C.G., Banks, P.B. and Tortosa, F.S., 2010. Prey naiveté in an introduced prey species: the wild rabbit in Australia. Behavioral Ecology, 21(5), pp.986-991.",(Barrio et al. 2010)
"Basse, B., McLennan, J.A. and Wake, G.C. 1999. Analysis of the impact of stoats, Mustela erminea, on the northern brown kiwi, Apteryx mantelli, in New Zealand. Journal of Wildlife Research 26: 227-237.",(Basse et al. 1999)
"Baynes, A. (1979). The analysis of a Late Quaternary mammal fauna from Hastings Cave, Jurien, Western Australia. Ph.D. thesis, University of Western Australia, Perth.",(Baynes 1979)
"Baynes, A. (1990). The mammals of Shark Bay, Western Australia. In Research in Shark Bay, ed. P.F. Berry, S.D. Bradshaw & B.R. Wilson. Western Australian Museum, Perth, pp. 313-25.",(Baynes 1990)
"Becke, L. (1908). ‘The Call of the South.’ (John Milne: London.)",(Becke 1908)
"Bell BD, Robertson CJR (1994) Seabirds of the Chatham Islands. In: Seabirds on islands (eds Nettleship DN, Burger J, Gochfeld M) pp. 219-228. Birdlife International, Cambridge.",(Bell & Robertson 1994)
"Bell, B.D. 1990. The status and management of the White-breasted White-eye and other birds on Norfolk Island. Report to Australian National Parks and Wildlife Service, Canberra.",(Bell 1990)
"Bell, D. and Bell, M., 2000. SHORT NOTE Discovery of a second natural wild population of the New Zealand shore plover (Thinornis novaeseelandiae). Notornis, 47, pp.166-167.",(Bell & Bell 2000a)
"Bell, E.A. 2013. Black petrel In: Miskelly, C.M. (ed.) New Zealand Birds Online. www.nzbirdsonline.org.nz (Accessed 15 September 2017).",(Bell 2013)
"Bell, M., 2017. Population size, breeding success and predators of black-fronted tern (Chlidonias albostriatus) in the Upper Clarence River catchment, New Zealand. Notornis, 64(3), pp.154-161.",(Bell 2017)
"Bell, T., Wilson, C. and Herbert, S. 2012. Determining a conservation threat classification for the Nevis skink, Oligosoma toka. BioGecko 1: 16-28.",(Bell et al. 2012)
"Bennett, G. (1862). Observations on the tooth-billed pigeon (Didunculus strigirostris Peale) inhabiting the Samoan or Navigator Group of Islands, southern Pacific Ocean. Sydney Morning Herald, 19 August: 2.",(Bennett 1862)
"Bennett, G. (1863). Letters to the Secretary, 18 June, 18 July, 19 August. Proceedings of the Zoological Society of London 31, 372–374.",(Bennett 1863)
"Bennett, G. (1864). Notes on the Didunculus strigirostris, or tooth-billed pigeon. Proceedings of the Zoological Society of London 32, 139–143.",(Bennett 1864)
"Benshemesh, J. 1992. The conservation ecology of Malleefowl, with particular regard to fire. Pages 1-224.Monash University, Clayton.",(Benshemesh 1992)
"Bentz, E.J., Rivera Rodríguez, M.J., John, R.R., Henderson, R.W. and Powell, R. 2011. Population densities, activity, microhabitats, and thermal biology of a unique crevice and litter-dwelling assemblage of reptiles on Union Island, St. Vincent and the Grenadines. Herpetological Conservation and Biology 6(1): 40-50.",(Bentz et al. 2011)
