internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
6671,Diplothrix legata,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Diplothrix,legata,,,,,"(Thomas, 1906)",
62254534,Columba thiriouxi,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Columba,thiriouxi,,,,,"Hume, 2011",<em>Columba thiriouxi</em> (del Hoyo and Collar 2014) was newly described from subfossil records by Hume (2011).
22728712,Nesoenas duboisi,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Nesoenas,duboisi,,,,,"Rothschild, 1907","<em>Nesoenas duboisi</em> (del Hoyo and Collar 2014) was previously placed in the genus <em>Columba</em>.<br/><br/>There were probably two other native pigeons on the island-a slaty, blue-winged&#160;<em>Alectroenas</em>, and unidentified&#160;<em>ramiers</em><strong></strong>. All three apparently became extinct in the early 1700s<strong>&#160;</strong>(Cheke 1987). Adler (1994) confused the situation by applying the name&#160;<em>duboisi</em>&#160;to the (undescribed)&#160;<em>Alectroenas</em><strong></strong>. Archeological work is needed to clarify the situation.<p></p>"
22728722,Nesoenas rodericanus,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Nesoenas,rodericanus,,,,,"(Milne-Edwards, 1874)",<em>Nesoenas rodericanus</em> (del Hoyo and Collar 2014) was previously placed in the genus <em>Alectroenas</em>.
22690059,Raphus cucullatus,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Raphus,cucullatus,,,,,"(Linnaeus, 1758)",
22690062,Pezophaps solitaria,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Pezophaps,solitaria,,,,,"(Gmelin, 1789)",
62759683,Alectroenas payandeei,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Alectroenas,payandeei,,,,,"Hume, 2011",<em>Alectroenas payandeei</em> (del Hoyo and Collar 2014) was described from subfossil remains by Hume (2011).
22684143,Coua delalandei,ANIMALIA,CHORDATA,AVES,CUCULIFORMES,CUCULIDAE,Coua,delalandei,,,,,"(Temminck, 1827)",
22728884,Aphanapteryx bonasia,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Aphanapteryx,bonasia,,,,,"(Selys Longchamps, 1848)",
62258591,Dryolimnas augusti,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Dryolimnas,augusti,,,,,"Mourer-Chauviré, Bour, Ribes &amp; Moutou, 1999",<em>Dryolimnas augusti</em> (del Hoyo and Collar 2014) was described from fossils by Mourer-Chauviré <em>et al</em>. (1999).
22728746,Mundia elpenor,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Mundia,elpenor,,,,,"(Olson, 1973)",
22728726,Porphyrio caerulescens,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porphyrio,caerulescens,,,,,"(Selys Longchamps, 1848)",<em>Porphyrio caerulescens </em>(del Hoyo and Collar 2014) was previously listed as&#160;<em>P.&#160;</em><em>coerulescens</em>.      <p></p>
22728763,Gallinula nesiotis,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Gallinula,nesiotis,,,,,"P.L. Sclater, 1861","<em>Gallinula nesiotis </em>and <em>G. comeri </em>(del Hoyo and Collar 2014) were previously lumped as <em>G. nesiotis</em> following Sibley and Monroe (1990, 1993) and Groenenburg <em>et al.</em> (2008, 2009), and before that had been treated as separate species by Collar and Stuart (1985).<em><p></p></em>"
22728800,Pterodroma rupinarum,ANIMALIA,CHORDATA,AVES,PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma,rupinarum,,,,,"Olson, 1975",Sometimes placed in genus <em>Pseudobulweria</em>. Monotypic.
22728787,Nycticorax megacephalus,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,ARDEIDAE,Nycticorax,megacephalus,,,,,"(Milne-Edwards, 1873)",
22728856,Mascarenotus murivorus,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Mascarenotus,murivorus,,,,,"(Milne-Edwards, 1873)",
103811601,Foudia delloni,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PLOCEIDAE,Foudia,delloni,,,,,"Cheke &amp; Hume, 2008",<p><em>Foudia delloni </em>(del Hoyo and Collar 2016) was described by Cheke and Hume (2008).</p>  <p>&#160;</p>
103889951,Zosterops semiflavus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ZOSTEROPIDAE,Zosterops,semiflavus,,,,,"Newton, 1867","Zosterops maderaspatanus , Z. kirki and Z. semiflavus (del Hoyo and Collar   2016) were previously lumped as Z. maderaspatanus following Dowsett &amp; Forbes-Watson (1993) and Sibley &amp;   Monroe (1990, 1993)."
22728851,Necropsittacus rodricanus,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Necropsittacus,rodricanus,,,,,"(Milne-Edwards, 1867)",<em>Necropsittacus</em>&#160;<em>rodricanus </em>(del Hoyo and Collar 2014) was previously listed as <em>N.&#160;</em><em>r</em><em>odericanus.</em><p></p>
22714587,Nesillas aldabrana,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Nesillas,aldabrana,,,,,"Benson & Penny, 1968",
22710840,Fregilupus varius,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,STURNIDAE,Fregilupus,varius,,,,,"(Boddaert, 1783)",
214696589,Triturus carnifex,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Triturus,carnifex,,,,,"(Laurenti, 1768)","Some of the subpopulations north of the Alps, in Austria and Germany, show degrees of hybridization with <em>Triturus cristatus</em> and with <em>T. dobrogicus</em> (Mačát <em>et al</em>. 2019, Wielstra <em>et al.</em> 2021). <em>Triturus carnifex</em> is not included in the German list as all subpopulations there are considered hybrids (Fahrbach <em>et al</em> 2021).<br/><br/>The exact ranges of members of the <em>Triturus cristatus</em> superspecies are unclear in the central Balkans. The former subspecies <em>macedonicus </em>has been split off as a separate species following Arntzen <em>et al</em>. (2007)."
22700393,Myiarchus semirufus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TYRANNIDAE,Myiarchus,semirufus,,,,,"Sclater & Salvin, 1878",
59405,Speleomantes strinatii,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Speleomantes,strinatii,,,,,"(Aellen, 1958)",
20458,Speleomantes italicus,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Speleomantes,italicus,,,,,"(Dunn, 1923)",
20454,Speleomantes ambrosii,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Speleomantes,ambrosii,,,,,"(Lanza, 1955)",
22681531,Dendrocopos noguchii,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Dendrocopos,noguchii,,,,,"(Seebohm, 1887)",
2888,Bos javanicus,ANIMALIA,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bos,javanicus,,,,,"d'Alton, 1823","Three subspecies of Banteng have come to be generally recognised (Lekagul and McNeely 1977, National Research Council 1983): <br/>1. <em>Bos javanicus javanicus</em> on Java and Bali,<br/>2. <em>B. j. lowi</em> on Borneo, and <br/>3. <em>B. j. birmanicus</em> on the Asian mainland.<br/><br/>Grzimek (1990) argued against separating these local forms into true subspecies because a number of the small populations of wild Banteng which remain have been affected by interbreeding with domestic or feral cattle. Corbet and Hill (1992) did not recognise any valid subspecies of Banteng either. Frequent reports of interbreeding between wild Banteng and domestic livestock on Borneo (S. Hedges pers. comm. 2008) have yet to be substantiated in Sabah and Java (J. Burton pers. comm. 2016). Phylogenetic studies of&#160;<em>B. j. lowi </em>are confounded by&#160;the difficulties of obtaining samples. Recent genetic studies have produced contradicting results with regards to the taxonomic status of Banteng on Borneo. Mitochondrial DNA evidence suggested that the Bornean and Javan Banteng have such large genetic distances as to constitute separate species (Ishige <em>et al</em>. 2016, Handayani 2023). However, nuclear genomic data refutes this hypothesis and suggests that Bornean Banteng affiliates strongly with the Javan Banteng (Sun <em>et al</em>. 2022).<br/><br/>Until there is sufficient information on its genetic description, current population size, and status&#160;of <em>B. j. lowi</em>&#160;should not be included within&#160;<em>B. javanicus. </em>Pending further morphometric and genetic analysis&#160;<em>Bos j. javanicus</em> and <em>B. j. birmanicus</em> are provisionally accepted here in recognition of the relatively pronounced phenotypic differences which exist between Banteng on Java and the Asian mainland."
59477,Triturus marmoratus,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,SALAMANDRIDAE,Triturus,marmoratus,,,,,"(Latreille, 1800)",
5112,Coleura seychellensis,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Coleura,seychellensis,,,,,"Peters, 1868","Two subspecies are recognized: <em>Coleura seychellensis seychellensis</em> from Mahé and Praslin, and <em>C. s. silhouettae</em> from Silhouette and La Digue (Hill 1971, Rocamora and Joubert 2004)."
274318228,Salmo ghigii,ANIMALIA,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,Salmo,ghigii,,,,,"Pomini, 1941","<strong>Italian and Corsican Brown Trouts</strong><br/>The systematics of Italian and Corsican trouts within the Brown Trout (<em>Salmo trutta</em>) complex (see discussion on Eurasian and North African Brown Trouts below) have yet to be definitively resolved (Splendiani <em>et al.</em> 2019a). For instance, the insular subpopulations from Corsica and Sardinia, treated here as <em>S. ghigii</em>, exhibit significant genetic differentiation from mainland subpopulations. Together, these subpopulations form a locally endemic sub-lineage that may merit recognition as a distinct taxon (Segherloo <em>et al.</em> 2021, Splendiani <em>et al.</em> 2024).<br/><br/>Mediterranean brown trout represent a distinct evolutionary lineage that has diverged significantly from the Atlantic lineage, which inhabits the river systems of Central Europe and the Atlantic basin (see below). The prolonged historical isolation between Atlantic and Mediterranean brown trout has led to the development of specific mitochondrial lineages and unique genetic variations at nuclear loci, particularly at the lactate dehydrogenase C1 locus (LDH-C1*). Research indicates that the LDH-C1*100 allele is exclusively found in native Mediterranean brown trout populations, whereas the *90 allele is fixed in North European populations from Atlantic drainages (Hamilton <em>et al.</em> 1989, García-Marín <em>et al.</em> 1991, Bernatchez 2001, Caputo <em>et al.</em> 2004, Almodóvar <em>et al.</em> 2006, Splendiani <em>et al.</em> 2016.<br/><br/><em>S. ghigii</em> subpopulations predominantly exhibit AD and/or ME mitochondrial lineages (see below), with the MA lineage appearing sporadically. Several studies have highlighted exceptionally high genetic diversity among these subpopulations, detected at both mitochondrial and nuclear markers, and observed at inter- and intra-basin levels (Zaccara <em>et al.</em> 2015; Rossi <em>et al.</em> 2019, 2022; Splendiani <em>et al.</em> 2019b, 2024). This genetic divergence is also linked to the loss of anadromous behaviour, a trait shared among brown trout populations across the Mediterranean region.<br/><br/><strong>Eurasian and North African Brown Trouts</strong><br/>At the broader scale, there is currently no general consensus regarding the systematic classification of most Eurasian and North African brown trouts, an assemblage comprising all representatives of the genus <em>Salmo</em> except the well-differentiated Atlantic Salmon (<em>Salmo salar</em>), Marble Trout (<em>Salmo marmoratus</em>), Softmouth Trout (<em>Salmo obtusirostris</em>) and Ohrid Belvica (<em>Salmo ohridanus</em>). While numerous, often range-restricted, members of this grouping have been described based largely on their ecological and morphological diversity, this variability is not consistently reflected by phylogenetic and phylogeographic evidence (Sanz 2018, Whiteley <em>et al</em>. 2019, Segherloo <em>et al</em>. 2021).<br/><br/>Despite a relatively recent diversification history spanning the period 0.5-2.5 Mya, brown trouts exhibit marked ecological and phenotypic variability throughout their large native range, which extends eastward from Europe and Northwest Africa to Russia and the Aral Sea basin. They occupy a wide range of habitats, from mountain streams and larger rivers to lakes and estuaries. Individual subpopulations can exhibit sedentary, anadromous or potamodromous life history strategies. Some freshwater systems are inhabited by multiple sympatric forms which differ in traits associated with foraging and reproductive ecology, and are sometimes referred to as ""morphs"", ""ecomorphs"" or ""ecotypes"" (Klemetsen <em>et al.</em> 2003, Kottelat and Freyhof 2007, Gratton <em>et al.</em> 2014, Ferguson <em>et al</em>. 2019, Segherloo <em>et al</em>. 2021).<br/><br/>Some authorities have viewed this combination of factors to be representative of high species diversity and recognised around 50 nominal taxa, a number of which have been described this century (Kottelat and Freyhof 2007, Snoj <em>et al</em>. 2011, Sanz 2018). Alternatively, their systematics have been viewed from a phylogenetic and phylogeographic perspective based largely on mitochondrial DNA (mtDNA) analyses, with all subpopulations treated as a single polymorphic taxon customarily referred to as the “Brown Trout (<em>Salmo trutta</em>) complex” (Sanz 2018, Whiteley <em>et al</em>. 2019, Segherloo <em>et al</em>. 2021).<br/><br/>The latter approach led to brown trout diversity being defined by ten mtDNA lineages or sublineages corresponding to extensive catchments (the Danube, Atlantic, Mediterranean and Adriatic basins), specific geographic areas (the Balkan Peninsula and North Africa), individual watersheds (the Dades, Duero and Tigris rivers) and a distinctive phenotype (Marble Trout). Subsequent studies revealed that the distribution of some of these mtDNA lineages extends beyond their defined boundaries, e.g., the Adriatic lineage occurs from the Iberian Peninsula to the Republic of Türkiye, and the Marble Trout lineage is present in areas where no marbled phenotype exists, such as Corsica, central and southern Italy, Albania and Greece (Bernatchez <em>et al.</em> 1992, Apostolidis <em>et al</em>. 1997, Bernatchez 2001, Suárez <em>et al</em>. 2001, Cortey<em> et al.</em> 2004, Sušnik <em>et al</em>. 2005, 2007; Splendiani <em>et al</em>. 2006, Martínez <em>et al</em>. 2007, Snoj <em>et al</em>. 2009, 2011; Tougard <em>et al</em>. 2018, Talarico <em>et al.</em> 2021, Rossi <em>et al.</em> 2022, Schöffmann <em>et al</em>. 2022).<br/><br/>Moreover, several studies have revealed the presence of mosaic distributions of mtDNA haplogroups and mitochondrial-nuclear phylogenetic discordance among wild brown trout populations (Snoj <em>et al</em>. 2009, Gratton <em>et al.</em> 2014, Pustovrh <em>et al</em>. 2014, Splendiani <em>et al.</em> 2020). This suggests the presence of incomplete lineage sorting or asymmetric introgressive hybridization, which are common phenomena in rapidly diverging lineages and indicate that mtDNA genealogies might be generally unsuitable for defining phylogenetic relationships between brown trout taxa (Pustovhr <em>et al</em>. 2011, 2014). In the case of brown trouts, naturally intricate patterns of diversification and secondary contact shaped by repeated glaciations during the Pleistocene have been additionally complicated by widespread anthropogenic translocation and introgressive hybridisation since the Middle Ages (Largiadèr and Scholl 1996, Sanz <em>et al</em>. 2006, Lerceteau-Köhle <em>et al</em>. 2013). The combined use of multiple nuclear (nDNA, e.g., microsatellites, nuclear genes) and mitochondrial markers has already provided better insight into this complex scenario, resulting in progress towards a deeper understanding of evolutionary relationships at particular geographic scales or among subsets of putative taxa (Snoj <em>et al</em>. 2002, 2010, 2011; Sušnik <em>et al</em>. 2006, 2007; Berrebi <em>et al.</em> 2013, 2019; Gratton <em>et al</em>. 2014, Marić <em>et al</em>. 2017).<br/><br/>An integrative taxonomic approach combining morphological and ecological data with next generation sequencing of nDNA to identify genomic clusters may represent the most promising option for resolving brown trout systematics (Guinand <em>et al</em>. 2021, Segherloo <em>et al.</em> 2021). However, no comprehensive morphological or nDNA analyses have yet been completed, and it is plausible that the elaborate genetic and phenotypic diversity demonstrated by these fishes may never be adequately captured by a single accepted taxonomic system (Whiteley <em>et al</em>. 2019). <br/><br/>Pending a definitive outcome to the above, the Red List broadly follows the nomenclature provided by Fricke <em>et al</em>. (2024)."
